form1[0].#subform[2].Pt3Line5_LastName[0]	Lorem Ipsum is simply dummy text of the printing and typesetting industry.
form1[0].#subform[2].Pt3Line5_TelephoneNumber[0]	N/A
form1[0].#subform[0].Pt2_ZipCodeOrPostalCode[0]	N/A
form1[0].#subform[0].Pt2_MiddleName[0]	N/A
form1[0].#subform[0].Pt2_LicensingState[0]	N/A
form1[0].#subform[0].Pt1_FirstName[0]	N/A
form1[0].#subform[2].Pt3Line5_FirstName[0]	N/A
form1[0].#subform[1].Pt3Line4_Location[0]	N/A
form1[0].#subform[2].USCISA-Number[2]	N/A
form1[0].#subform[2].Pt3Line5_StateOrProvince[0]	N/A
form1[0].#subform[0].Pt2_City[0]	N/A
form1[0].#subform[2].Pt3Line7_No[0]	true
form1[0].#subform[1].Pt3Line5_Months[0]	N/A
form1[0].#subform[0].DateofBirth[0]	N/A
form1[0].#subform[5].MedicalProfessionalLastName[0]	N/A
action	save
id	1
form1[0].#subform[0].Pt2_LicenseNumber[0]	N/A
form1[0].#subform[1].Pt3Line2_DescibeDisability[0]	N/A
form1[0].#subform[3].Pt3Line11_DIA4[0]	1
form1[0].#subform[0].Pt1_MiddleName[0]	N/A
form1[0].#subform[1].Pt3Line1_DescribeClinicalDiagnosis[0]	Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.
form1[0].#subform[5].SignatureOfInterpreter[0]	N/A
form1[0].#subform[5].USCISA-Number[5]	N/A
form1[0].#subform[0].Pt2_EMail[0]	N/A
form1[0].#subform[5].MedicalProfessionalBusinessAddress[0]	N/A
form1[0].#subform[1].Pt3Line5_Years[0]	N/A
form1[0].#subform[0].Pt2_TelephoneNumber[0]	N/A
form1[0].#subform[3].ApplicantsName[2]	N/A
form1[0].#subform[0].City[0]	N/A
form1[0].#subform[1].Pt3Line4_LastDateExamined[0]	N/A
form1[0].#subform[5].LicensedMedicalDoctor[0]	N/A
form1[0].#subform[4].USCISA-Number[4]	N/A
form1[0].#subform[4].Signature[0]	N/A
form1[0].#subform[5].MedicalProfessionalCityStateZipCode[0]	N/A
form1[0].#subform[0].Pt1_ApplicantLastName[0]	asd
form1[0].#subform[5].MedicalProfessionalFirstName[0]	N/A
form1[0].#subform[2].Pt3Line5_City[0]	N/A
form1[0].#subform[0].PhoneNum[0]	N/A
form1[0].#subform[4].ApplicantsName[3]	N/A
form1[0].#subform[3].USCISA-Number[3]	N/A
form1[0].#subform[5].CertDate[1]	N/A
form1[0].#subform[0].U\\.S\\.SSN[0]	N/A
form1[0].#subform[0].Address[0]	N/A
form1[0].#subform[5].Language[0]	N/A
form1[0].#subform[4].TextField1[0]	N/A
form1[0].#subform[5].MedicalProfessionalFirstName[1]	N/A
form1[0].#subform[0].Pt2_LastName[0]	N/A
form1[0].#subform[1].Pt3Line3_Location[0]	N/A
form1[0].#subform[0].Pt2_BusinessAddress[0]	N/A
form1[0].#subform[5].Pt1Line13_ApplicantSignature[0]	N/A
form1[0].#subform[0].EMailAddress[0]	N/A
form1[0].#subform[4].OtherIDNumber[0]	N/A
form1[0].#subform[0].Pt2_StateOrProvince[0]	N/A
button	N/A
form1[0].#subform[2].Pt3Line8_Explained[0]	N/A
form1[0].#subform[3].Pt3Line9_Explained[0]	N/A
form1[0].#subform[5].CertDateSigned[0]	N/A
form1[0].#subform[0].State[0]	N/A
form1[0].#subform[0].ZipCode[0]	N/A
form1[0].#subform[5].MedicalProfessionalCityStateZipCode[1]	N/A
form1[0].#subform[4].Pt3Line12_AdditionalComments[0]	N/A
form1[0].#subform[1].ApplicantsName[0]	N/A
form1[0].#subform[5].OccurredWhere[0]	N/A
form1[0].#subform[2].Pt3Line5_MiddleName[0]	N/A
form1[0].#subform[4].CertDate[0]	N/A
form1[0].#subform[1].USCISA-Number[1]	N/A
controller	uscis_forms
form1[0].#subform[0].Pt2Line2_MedicalPracticeType[0]	N/A
form1[0].#subform[2].Pt3Line5_ZipCodeOrPostalCode[0]	N/A
form1[0].#subform[1].Pt3Line5_Yes[0]	true
form1[0].#subform[0].USCISA-Number[0]	N/A
form1[0].#subform[3].Pt3Line10_Describe[0]	N/A
form1[0].#subform[5].MedicalProfessionalCityStateZipCode[2]	N/A
form1[0].#subform[2].Pt3Line5_Explanation[0]	N/A
form1[0].#subform[2].Pt3Line5_BusinessAddress[0]	N/A
form1[0].#subform[5].ApplicantsName2[0]	N/A
form1[0].#subform[2].ApplicantsName[1]	N/A
form1[0].#subform[1].Pt3Line3_DateOfRecentExam[0]	N/A
form1[0].#subform[0].Pt2_FirstName[0]	N/A
form1[0].#subform[4].StateIDNumber[0]	N/A
form1[0].#subform[2].Pt3Line6_Yes[0]	true
form1[0].#subform[5].ApplicantsName[4]	N/A

